municipality_name,municipality_type,ward_no,latitude,longitude,population,household_size,households,road_distance_km,highway_distance_km,hospital_distance_km,school_distance_km,bank_distance_km,market_distance_km,bus_stop_distance_km,tourist_distance_km,electricity_access_pct,internet_access_pct,water_access_pct,average_income_npr,land_price_per_kattha_npr,rent_price_npr,commercial_buildings,industries,agriculture_pct,footfall_index,crime_rate_index,flood_risk_index,landslide_risk_index,purchasing_power_index,business_density,urbanization_rate,development_index,investment_score,recommended_business,business_success_probability
Kotahimai,Rural,5,27.664079,83.339967,2048,5.63,363,5.06,5.08,5.6,3.14,12.62,4.96,2.13,2.0,55.58,27.9,40.08,25715.34,3058611.05,2871.59,7,1,100.0,24.05,2.23,1.63,0.14,66.42,3.42,64.24,25.74,19.75,Dairy Farm,0.95
Omsatiya,Rural,1,27.63431,83.670115,441,5.96,73,5.56,16.53,2.24,3.27,8.76,5.56,2.75,23.5,71.88,20.14,61.16,19785.08,1445672.32,3899.6,11,1,86.3,11.71,1.05,7.51,1.61,40.38,11.0,21.74,40.09,21.59,Dairy Farm,0.7843
Lumbini Sanskritik,Semi-Urban,12,27.548807,83.588206,2937,5.36,548,1.3,6.61,3.9,1.59,3.39,2.51,2.93,2.85,87.38,79.24,82.61,13737.57,6160715.95,15736.95,71,0,33.3,74.1,1.3,3.76,1.58,8.21,24.17,100.0,76.68,49.32,Handicraft Shop,0.5868
Kanchan,Rural,3,27.619812,83.420765,1076,5.18,207,4.61,9.65,9.18,2.27,7.73,5.49,2.99,0.93,67.93,34.64,48.28,14407.78,1829242.28,3310.91,17,1,78.4,19.81,0.7,0.11,0.94,33.42,15.8,45.56,37.69,24.91,Fertilizer Store,0.7325
Omsatiya,Rural,2,27.698418,83.491684,1156,5.43,212,3.8,6.63,14.29,3.6,9.95,5.95,4.11,33.6,100.0,38.12,63.52,24002.06,3452870.23,2889.07,14,0,87.84,18.42,0.42,3.53,1.17,61.72,12.11,43.93,50.98,18.48,Cold Storage,0.95
Marchawari,Rural,7,27.725518,83.542366,1496,5.63,265,5.95,12.72,9.65,0.93,11.06,4.77,6.48,15.47,51.08,18.01,70.08,15749.67,2498279.95,1932.38,9,1,85.14,27.12,0.6,6.18,0.72,53.71,6.02,52.94,31.99,23.75,Stationery Shop,0.95
Sammarimai,Rural,1,27.608123,83.586159,1671,5.83,286,3.14,12.11,12.83,1.97,6.19,7.98,5.76,29.44,68.5,23.15,44.04,22430.32,1890337.74,3200.13,0,0,93.34,29.82,1.76,9.5,0.29,53.4,0.0,52.13,31.4,22.78,Dairy Farm,0.95
Tilottama,Urban,13,27.503298,83.429568,4990,4.33,1152,0.7,0.2,3.0,1.18,0.25,0.54,0.18,20.04,97.87,94.78,90.07,39697.42,16035635.84,24143.76,148,12,4.01,109.47,4.05,0.2,1.6,15.79,29.66,100.0,87.62,69.5,Bookstore,0.95
Devdaha,Semi-Urban,6,27.749431,83.660436,2410,5.31,454,1.28,2.03,6.45,1.45,1.16,4.87,1.69,5.12,86.87,32.12,93.51,31717.23,10905869.47,7083.19,51,9,3.15,33.79,1.6,1.89,0.04,39.24,21.16,100.0,64.07,34.63,Tutoring Center,0.95
Siyari,Rural,5,27.530999,83.259881,1287,6.02,213,4.82,7.97,19.4,3.62,4.42,8.05,5.08,1.17,59.44,26.19,56.87,22630.89,3527533.31,1601.43,12,0,75.13,14.08,0.81,1.73,1.79,86.99,9.32,50.87,30.56,20.03,Dairy Farm,0.95
Omsatiya,Rural,1,27.564159,83.691189,1104,6.45,171,1.18,8.95,13.37,2.41,5.4,6.06,4.42,7.38,100.0,62.39,84.0,15177.21,1198362.62,3279.76,0,0,76.93,4.76,2.14,5.81,0.31,35.46,0.0,40.04,68.81,39.02,Cold Storage,0.6489
Kotahimai,Rural,5,27.420729,83.368302,959,6.02,159,4.52,10.12,19.21,0.21,4.61,6.15,3.59,13.44,80.57,17.92,71.3,23838.91,2203536.67,3337.6,7,0,75.67,23.94,1.16,6.65,1.05,54.96,7.0,38.87,41.16,30.05,Bookstore,0.95
Devdaha,Semi-Urban,7,27.556978,83.6083,869,4.96,175,0.49,5.6,2.89,0.42,3.02,2.26,2.82,17.87,94.46,66.43,76.15,39911.66,9706810.02,7375.58,41,6,58.71,69.32,2.58,3.94,0.3,47.65,41.0,54.86,73.02,53.43,Bookstore,0.95
Tilottama,Urban,10,27.697579,83.216766,7264,4.88,1489,0.7,2.54,1.23,0.87,0.22,0.58,0.61,28.56,99.51,85.39,99.35,49134.35,29383979.06,18809.69,137,6,17.48,89.82,3.92,0.77,1.17,24.8,18.86,100.0,89.32,79.57,Medical Supply Store,0.95
Siyari,Rural,5,27.407244,83.636062,1243,6.04,205,4.45,8.87,14.21,3.88,3.58,2.32,7.77,22.81,77.76,32.0,68.65,30693.46,2419162.13,2411.91,9,2,74.17,28.52,-0.36,9.2,0.69,89.96,7.24,48.64,46.77,36.52,Fertilizer Store,0.95
Marchawari,Rural,6,27.580887,83.312302,749,5.26,142,2.7,2.79,11.73,3.15,9.09,8.7,6.25,15.59,70.97,7.87,100.0,18069.65,1980699.93,3198.08,9,0,74.53,19.67,1.07,5.65,0.13,43.04,9.0,33.71,45.21,23.6,Agro-vet Clinic,0.95
Tilottama,Urban,2,27.609756,83.420381,6869,4.16,1653,0.54,1.79,1.62,0.93,1.42,1.22,0.1,7.27,97.28,89.65,97.43,44107.79,20149918.17,19364.24,163,15,9.35,87.51,2.42,1.19,0.2,21.66,23.73,100.0,90.11,70.92,Polyclinic,0.95
Mayadevi,Rural,5,27.742279,83.61511,1858,5.31,350,0.99,10.37,10.45,3.99,3.25,6.85,3.63,0.92,67.16,50.98,59.43,10216.85,2484807.96,1719.57,18,0,96.96,22.11,1.42,7.64,0.28,37.57,9.69,63.85,48.43,24.96,Cold Storage,0.8529
Tilottama,Urban,8,27.757821,83.599928,4454,4.27,1043,0.47,3.66,3.01,0.69,0.67,0.16,0.53,22.18,94.74,92.76,100.0,40308.52,22634687.06,37964.27,278,9,12.55,77.63,5.21,1.92,1.04,10.34,62.42,100.0,88.21,68.56,Bookstore,0.7239
Devdaha,Semi-Urban,7,27.641261,83.322675,1280,4.86,263,0.7,1.55,7.63,1.05,6.95,2.99,2.18,16.22,85.71,75.5,79.24,183605.07,7711820.3,13447.82,35,4,66.56,37.46,4.31,1.23,1.64,127.08,27.34,62.43,67.67,60.17,Bookstore,0.95
Omsatiya,Rural,4,27.508858,83.495115,909,6.38,142,2.5,2.72,10.87,5.1,7.36,6.63,5.24,21.33,94.29,51.24,63.19,10367.24,1953676.07,3818.48,10,1,77.87,31.29,1.44,8.45,0.64,21.52,10.0,37.91,55.23,23.0,Dairy Farm,0.4892
Siyari,Rural,2,27.448227,83.238477,783,6.09,128,5.56,7.25,9.8,5.67,7.59,7.06,1.03,25.65,79.01,47.79,71.23,15413.56,3127477.95,5298.9,8,0,94.53,35.8,1.08,2.39,0.22,24.47,8.0,28.33,50.62,23.89,Fertilizer Store,0.5304
Siyari,Rural,3,27.518523,83.316804,1186,5.58,212,3.47,3.72,15.41,3.25,4.52,9.62,2.67,15.74,92.51,62.42,46.45,15412.33,1520860.48,3555.38,6,0,78.32,16.27,0.56,7.58,1.39,33.83,5.06,44.48,53.24,26.66,Cold Storage,0.6251
Marchawari,Rural,6,27.489776,83.311909,2142,5.87,364,4.88,5.55,10.06,3.93,8.0,6.32,8.02,7.69,72.35,14.03,49.31,17834.37,3435646.29,2482.39,11,0,91.88,45.27,1.08,8.25,0.7,51.21,5.14,71.09,30.72,30.8,Agro-vet Clinic,0.95
Omsatiya,Rural,6,27.506811,83.639315,1436,6.28,228,5.22,9.62,15.58,4.25,9.57,7.02,7.06,6.66,65.26,39.61,64.45,14552.3,2395964.41,3418.25,12,0,80.03,28.18,0.31,9.81,1.26,32.94,8.36,53.87,38.82,28.45,Dairy Farm,0.4996
Tilottama,Urban,6,27.615994,83.589923,5399,4.54,1188,0.3,1.4,2.42,1.3,1.15,0.58,0.56,8.0,100.0,84.87,95.66,56950.47,12384065.48,20528.63,218,22,9.67,71.67,6.82,1.37,1.99,26.45,40.38,100.0,84.1,58.96,Bookstore,0.7
Mayadevi,Rural,3,27.46545,83.597405,791,5.12,154,4.42,12.49,18.55,3.17,3.56,4.77,5.27,12.93,56.59,63.2,83.47,14445.64,1464703.14,3074.21,8,1,76.57,25.06,1.48,1.86,1.74,35.46,8.0,33.96,51.43,30.97,Dairy Farm,0.95
Kotahimai,Rural,4,27.737913,83.580512,822,5.05,162,3.65,8.79,15.55,3.37,11.32,3.65,7.6,8.19,74.4,1.38,71.92,22203.22,1477900.82,2553.82,0,0,55.76,4.16,2.11,6.95,1.72,62.48,0.0,37.93,30.19,9.91,Cold Storage,0.95
Omsatiya,Rural,6,27.496818,83.693331,1198,5.93,202,0.68,10.1,20.91,2.19,7.11,4.46,3.83,4.37,72.31,15.36,72.93,22944.41,2498647.85,2506.54,7,1,72.01,38.12,1.79,8.71,1.43,65.43,5.84,47.14,36.3,25.19,Dairy Farm,0.95
Mayadevi,Rural,6,27.72593,83.240057,1245,6.23,199,4.9,16.3,8.55,6.1,7.59,3.7,3.03,9.26,70.19,38.48,77.84,17878.23,3713816.29,4727.54,12,1,81.2,26.14,0.68,0.72,0.06,31.21,9.64,47.79,47.92,26.43,Dairy Farm,0.6688
Siddharthanagar,Urban,4,27.747309,83.563585,4275,4.35,983,1.29,0.06,5.0,0.95,2.42,0.02,0.33,2.46,99.6,90.9,97.66,58768.03,23885080.48,28213.0,165,16,8.54,55.24,3.92,4.35,0.89,20.12,38.6,100.0,87.3,51.06,Tutoring Center,0.7974
Siddharthanagar,Urban,13,27.63718,83.281762,5561,4.26,1305,0.46,0.21,3.74,0.77,1.28,0.78,0.64,10.06,98.15,83.59,99.98,29434.18,17859424.2,37006.08,242,13,8.25,75.18,7.12,4.22,1.61,7.74,43.52,100.0,83.67,67.4,Stationery Shop,0.5402
Sammarimai,Rural,4,27.482336,83.25596,1171,5.8,202,2.93,7.48,6.83,3.22,8.35,3.82,4.02,25.86,77.09,39.05,68.0,7495.41,4350202.28,2128.87,12,0,86.44,22.77,0.98,4.44,1.74,23.96,10.25,44.0,49.74,28.04,Fertilizer Store,0.5188
Omsatiya,Rural,1,27.735246,83.672307,1187,5.93,200,7.01,8.8,17.25,5.16,10.56,6.28,1.71,7.46,99.5,7.07,74.54,17679.31,2263009.93,3321.36,12,2,84.54,17.56,2.27,3.27,1.34,40.91,10.11,45.05,38.11,25.25,Agro-vet Clinic,0.9111
Marchawari,Rural,5,27.719125,83.417792,1139,5.82,195,3.25,2.89,3.78,2.17,11.66,1.89,3.39,8.0,55.6,17.98,72.55,23448.32,3227182.5,750.9,6,1,91.26,15.46,1.48,3.41,0.76,133.92,5.27,39.19,36.79,28.65,Agro-vet Clinic,0.95
Sammarimai,Rural,2,27.613441,83.503953,1471,6.08,242,4.15,11.04,13.41,3.66,6.81,3.49,3.44,3.96,49.61,28.03,55.17,18899.47,3113601.83,3918.32,2,0,89.41,10.18,1.32,1.81,1.36,38.43,1.36,48.11,28.94,16.31,Cold Storage,0.6793
Gaidahawa,Rural,7,27.683619,83.253438,562,6.44,87,3.88,13.59,11.62,2.63,7.19,5.94,4.28,19.01,93.09,37.68,65.74,20498.19,962899.26,4149.42,8,0,87.51,27.47,0.94,2.75,1.65,39.81,8.0,23.81,51.9,38.61,Dairy Farm,0.9061
Kotahimai,Rural,2,27.438214,83.51193,2089,5.25,397,0.52,10.54,14.07,3.22,6.61,5.09,3.71,1.3,89.46,74.21,61.64,17558.59,4063767.47,2196.33,18,2,74.46,25.69,2.8,2.74,0.16,54.93,8.62,77.53,60.09,28.06,Cold Storage,0.95
Omsatiya,Rural,2,27.490663,83.377498,1213,5.1,237,1.46,5.51,15.51,5.05,7.33,5.93,8.24,34.47,57.41,5.33,80.42,16697.51,3381467.07,3096.43,6,0,86.29,10.85,1.57,4.5,1.51,40.76,4.95,42.9,31.49,23.6,Agro-vet Clinic,0.6784
Mayadevi,Rural,5,27.71818,83.663589,986,5.23,188,0.19,12.85,12.71,6.98,8.18,5.38,3.38,24.57,77.0,26.95,80.62,14070.05,935013.64,1163.79,12,0,58.47,23.89,3.49,9.19,0.99,65.02,12.0,46.84,44.0,25.99,Fertilizer Store,0.95
Kanchan,Rural,5,27.552249,83.638987,1306,6.19,211,3.64,5.97,10.82,1.72,5.94,2.93,6.63,16.98,75.76,33.41,66.62,30324.39,1759887.77,2349.59,12,0,80.64,16.28,0.71,0.68,0.05,90.53,9.19,49.79,46.83,29.38,Agro-vet Clinic,0.95
Sudhodhan,Rural,3,27.572999,83.355908,200,5.16,38,3.59,3.16,15.0,5.8,10.66,4.57,6.98,11.98,77.23,23.26,60.8,16059.12,2136332.98,3160.57,10,1,91.91,29.5,0.31,5.27,0.85,38.6,10.0,12.43,35.93,18.01,Fertilizer Store,0.8049
Mayadevi,Rural,3,27.547104,83.407065,1416,6.15,230,4.52,7.88,11.13,2.91,6.95,6.73,2.41,14.69,76.63,7.63,55.09,8199.21,3648446.89,1806.94,9,2,71.37,-3.03,1.14,3.94,0.92,29.21,6.36,54.67,32.55,13.19,Dairy Farm,0.5352
Gaidahawa,Rural,2,27.782134,83.593452,1656,5.66,292,0.76,10.71,9.56,6.74,5.18,6.48,4.6,7.47,94.53,61.23,70.48,20299.86,1457827.7,5013.39,10,0,81.85,6.53,0.72,3.5,1.55,33.76,6.04,59.13,63.57,21.06,Dairy Farm,0.828
Siddharthanagar,Urban,2,27.469644,83.249198,6778,4.27,1589,0.86,2.11,3.97,0.37,0.6,0.94,0.22,15.39,99.28,96.12,92.08,59556.19,28996357.88,30966.41,229,10,11.8,88.35,3.68,1.12,0.74,18.63,33.79,100.0,89.25,63.26,Bookstore,0.7282
Sainamaina,Semi-Urban,11,27.645176,83.671538,2112,4.7,449,1.17,4.11,7.04,2.86,2.13,2.33,2.28,22.35,88.76,89.11,89.91,69772.88,11520421.57,10543.06,24,6,30.23,39.43,3.09,2.53,1.68,60.45,11.36,93.89,79.58,53.47,Restaurant,0.95
Lumbini Sanskritik,Semi-Urban,13,27.636139,83.45418,2952,5.19,568,0.26,4.16,7.25,1.38,3.72,2.25,1.98,1.58,94.14,51.1,97.88,45639.77,3798476.12,12159.51,78,3,23.35,55.56,3.95,0.03,1.52,34.68,26.42,100.0,70.78,45.07,Bookstore,0.9338
Kanchan,Rural,5,27.459555,83.352802,873,6.08,143,1.19,8.9,16.66,1.37,1.72,1.95,6.53,16.85,66.72,81.16,61.54,25710.55,3604874.31,5061.5,16,2,85.93,27.78,1.06,4.98,0.15,42.42,16.0,36.81,58.28,33.31,Tutoring Center,0.95
Tilottama,Urban,13,27.713959,83.55384,5132,4.44,1155,1.24,1.07,0.67,0.58,0.89,1.04,0.09,4.23,98.38,92.88,100.0,41503.88,21308314.86,34179.27,184,20,0.31,61.2,4.52,1.81,0.67,11.8,35.85,100.0,90.87,58.45,Pharmacy,0.7544
Sudhodhan,Rural,5,27.607232,83.349363,1613,6.26,257,2.61,10.05,9.34,1.75,1.62,4.94,7.54,19.69,99.92,20.86,60.97,13008.07,2241433.52,3766.08,16,0,77.96,11.22,0.84,9.06,0.5,27.29,9.92,61.4,52.09,28.15,Dairy Farm,0.4763
Kotahimai,Rural,5,27.579896,83.588355,1191,5.05,235,1.51,8.41,6.34,0.86,3.92,5.49,4.17,8.96,85.54,31.93,68.36,22423.03,1264655.89,1889.6,12,0,100.0,20.8,1.78,3.5,0.23,77.6,10.08,40.53,53.85,26.76,Bookstore,0.95
Omsatiya,Rural,5,27.500387,83.625308,1607,5.17,310,8.33,9.72,15.47,3.76,5.9,3.34,4.17,24.04,58.92,0.0,76.55,6185.34,1192215.44,3619.15,20,1,72.72,18.17,2.6,0.52,1.57,13.39,12.45,64.39,25.83,13.7,Cold Storage,0.2179
Butwal,Urban,4,27.465883,83.365108,5184,4.2,1232,1.31,1.14,2.77,1.16,0.97,0.77,0.28,14.95,98.17,94.41,90.13,55383.89,22527120.47,35475.78,171,5,11.0,85.44,6.05,3.17,1.6,15.18,32.99,100.0,85.08,72.66,Tutoring Center,0.7446
Omsatiya,Rural,6,27.613212,83.278977,1593,5.48,290,4.31,6.66,9.98,2.07,8.27,9.13,1.86,19.52,75.36,58.24,68.81,12688.03,2342645.68,2812.86,14,2,100.0,25.8,1.76,0.79,1.46,33.28,8.79,53.39,53.39,29.74,Agro-vet Clinic,0.7612
Sammarimai,Rural,1,27.727625,83.470397,797,5.71,139,5.28,7.34,18.53,3.36,0.28,4.0,5.99,10.89,83.19,13.2,61.52,14686.43,500000.0,3763.59,16,0,92.44,18.97,2.48,9.79,1.27,30.83,16.0,32.58,36.43,24.62,Agro-vet Clinic,0.453
Rohini,Rural,4,27.530042,83.543164,1039,6.26,166,4.05,11.49,5.27,3.69,12.82,3.0,2.64,19.89,82.71,33.59,75.26,21173.61,2887759.87,3409.82,8,1,99.0,18.67,0.72,4.6,1.73,48.01,7.7,34.67,50.22,15.58,Fertilizer Store,0.95
Lumbini Sanskritik,Semi-Urban,8,27.79072,83.25536,2071,5.24,395,1.41,3.06,6.05,1.56,4.13,2.7,2.32,1.61,94.44,57.1,91.59,50370.87,6062685.95,7267.89,51,0,35.56,17.87,3.28,1.5,1.49,60.92,24.63,100.0,71.19,43.86,Boutique Hotel,0.95
Butwal,Urban,9,27.637289,83.646151,6101,4.03,1512,0.18,1.57,3.74,0.54,1.19,1.29,0.65,21.78,98.38,95.01,81.48,38459.24,10846835.52,29089.62,268,14,14.76,104.18,5.97,2.96,1.41,12.78,43.93,100.0,82.83,72.96,Bookstore,0.5865
Lumbini Sanskritik,Semi-Urban,9,27.44169,83.392256,4236,5.45,777,1.32,6.46,6.53,4.29,3.16,2.39,1.82,0.07,87.8,31.88,82.8,57122.0,4279819.12,7317.0,36,4,40.1,71.69,1.92,2.86,1.03,68.68,8.5,100.0,57.92,53.89,Cold Storage,0.95
Devdaha,Semi-Urban,11,27.558806,83.243546,1791,4.85,369,1.77,5.65,5.05,3.9,2.91,1.79,0.49,20.09,80.98,41.24,87.67,5000.0,10685114.94,8550.82,52,9,53.45,44.63,1.61,2.28,0.74,5.24,29.03,88.49,61.54,37.6,Fertilizer Store,0.3095
Rohini,Rural,7,27.700471,83.235504,1110,6.41,173,1.7,12.91,17.79,5.26,1.8,5.41,5.52,7.55,80.72,42.73,70.88,9514.51,1483544.46,5678.11,7,0,87.33,28.55,2.53,8.46,1.38,14.25,6.31,39.9,48.97,35.62,Fertilizer Store,0.2307
Marchawari,Rural,2,27.510152,83.353157,1093,6.2,176,5.87,9.15,13.3,3.3,9.43,6.59,0.5,26.27,94.57,0.0,85.49,12545.17,1671348.57,1894.3,8,0,87.8,33.1,2.62,3.41,0.14,43.34,7.32,39.65,41.45,17.92,Cold Storage,0.8031
Siyari,Rural,7,27.670848,83.50289,706,6.48,108,1.82,15.57,9.69,3.43,3.56,5.01,3.05,11.38,73.47,38.19,53.53,8981.09,1716010.17,2906.57,11,1,89.04,4.6,0.31,3.4,1.08,22.99,11.0,28.87,45.5,19.94,Agro-vet Clinic,0.4147
Lumbini Sanskritik,Semi-Urban,9,27.616682,83.580951,2324,4.8,483,2.73,1.92,3.45,1.83,2.29,0.52,2.75,1.08,84.64,68.59,100.0,5000.0,7141987.33,13302.88,89,1,47.45,40.69,2.39,2.38,1.09,3.5,38.3,100.0,76.86,45.2,Fertilizer Store,0.4823
Butwal,Urban,11,27.613355,83.634985,5462,4.12,1324,0.3,0.83,3.31,0.94,0.06,0.79,0.62,6.57,98.51,95.23,87.76,51397.87,16373655.11,26923.77,79,28,8.65,97.91,3.49,3.82,1.15,18.41,14.46,100.0,88.03,74.78,Tutoring Center,0.9135
Gaidahawa,Rural,1,27.757236,83.231229,1145,5.77,198,5.01,10.62,12.97,3.47,5.83,7.25,5.9,1.2,63.41,38.14,55.43,14866.41,2689914.78,3953.13,12,1,85.16,13.59,1.85,7.53,1.54,30.01,10.48,43.6,36.84,26.14,Agro-vet Clinic,0.5986
Devdaha,Semi-Urban,6,27.738369,83.506802,2478,4.58,541,0.62,0.22,0.92,1.81,2.18,2.61,1.87,12.81,90.15,74.13,80.37,117301.27,8009252.38,9462.37,51,4,29.36,30.04,1.74,1.41,1.61,112.12,20.58,100.0,77.05,55.47,Polyclinic,0.95
Rohini,Rural,2,27.762444,83.360748,583,5.96,97,2.73,8.24,13.39,5.54,3.07,1.04,4.37,10.08,100.0,54.78,73.14,22035.61,1221163.04,3476.36,12,2,100.0,23.92,1.09,2.71,0.99,49.23,12.0,22.29,62.51,29.26,Cold Storage,0.95
Siddharthanagar,Urban,4,27.651823,83.227166,3766,4.0,941,1.06,0.87,2.02,1.48,0.17,0.37,0.84,10.12,97.45,86.11,98.64,55274.22,16681398.12,23723.24,247,13,13.78,79.02,6.97,1.94,1.27,22.36,65.59,100.0,84.73,75.91,Bookstore,0.8279
Tilottama,Urban,3,27.666554,83.683024,3416,4.11,832,1.03,2.12,3.81,0.93,0.64,0.8,0.68,2.79,95.11,78.52,92.25,39918.6,19261098.41,21374.01,272,16,11.5,89.33,2.29,2.36,1.76,17.84,79.63,100.0,83.13,79.0,Bookstore,0.8657
Gaidahawa,Rural,2,27.643101,83.347651,1350,6.11,221,1.2,12.3,5.16,5.82,4.72,5.38,3.7,16.19,61.82,1.75,43.84,10373.4,1092947.52,2781.96,0,1,55.9,19.23,1.51,4.64,1.93,27.43,0.0,53.73,25.85,25.69,Cold Storage,0.57
Sainamaina,Semi-Urban,3,27.524746,83.586996,2596,5.48,474,3.05,4.85,6.48,1.65,2.14,2.6,3.55,15.51,83.8,42.99,86.65,40400.5,8731859.59,9330.39,79,0,27.57,47.93,0.86,3.74,0.95,39.11,30.43,100.0,63.63,47.74,Mobile Repair Shop,0.95
Gaidahawa,Rural,9,27.785107,83.237803,695,5.29,131,1.77,9.36,7.03,4.09,11.24,5.65,3.26,23.49,55.53,61.56,52.45,21192.59,1810585.12,2737.02,0,1,86.2,9.11,1.38,9.58,1.06,56.71,0.0,24.99,43.08,19.91,Cold Storage,0.881
Lumbini Sanskritik,Semi-Urban,5,27.671848,83.23812,3173,4.96,639,0.88,0.92,8.83,0.58,2.6,2.07,2.59,0.64,82.01,71.93,100.0,41382.37,6014053.47,11277.66,50,3,47.32,86.09,2.31,1.24,1.28,33.71,15.76,100.0,75.89,55.24,Tutoring Center,0.95
Kanchan,Rural,2,27.626034,83.585813,1074,5.01,214,3.0,10.47,10.96,4.44,3.19,3.61,1.83,6.27,82.04,44.28,67.69,17901.25,1610736.09,2203.83,11,0,64.34,6.56,0.22,7.54,1.84,55.87,10.24,47.32,53.66,24.2,Fertilizer Store,0.95
Marchawari,Rural,6,27.542848,83.593775,1362,5.54,245,0.16,3.16,15.65,3.52,4.14,4.19,5.37,0.64,76.59,41.69,99.65,26086.06,2083484.75,2101.22,3,0,89.22,18.72,2.71,4.98,0.41,84.12,2.2,45.3,58.2,22.47,Fertilizer Store,0.95
Rohini,Rural,4,27.532626,83.627515,200,6.22,32,3.4,6.09,16.79,5.06,9.22,3.1,4.85,1.67,76.64,51.05,61.41,21451.18,500000.0,2268.49,4,0,72.51,32.17,2.16,8.48,0.85,65.63,4.0,15.85,43.64,22.52,Agro-vet Clinic,0.95
Siyari,Rural,4,27.685049,83.60839,1015,6.35,159,0.73,5.61,19.11,6.11,9.94,5.17,2.38,29.02,62.54,40.45,76.28,21252.25,797535.76,4051.95,5,0,82.5,39.96,3.99,3.69,1.87,42.07,4.93,37.7,37.83,31.24,Fertilizer Store,0.95
Kotahimai,Rural,1,27.685731,83.430858,1292,6.09,212,4.0,6.31,15.38,2.7,8.62,2.4,1.56,15.88,90.87,48.75,79.5,6043.63,1940099.25,3454.18,7,0,94.44,19.4,1.86,2.35,1.41,13.57,5.42,43.23,55.83,25.83,Agro-vet Clinic,0.574
Mayadevi,Rural,4,27.786814,83.225834,1927,6.29,306,3.08,9.97,9.37,0.27,10.29,4.04,2.27,21.17,85.4,22.16,85.9,21417.85,907235.43,4211.94,11,0,81.43,2.24,1.83,3.07,0.71,41.09,5.71,67.78,51.15,13.83,Tutoring Center,0.95
